Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
NMBUR93/94,4% NMB Urja Rinpatra (Energy Bond II) 4%-2093/94,"2,727,437","1,000.00","2,727,437,000.00"
CCBD88,Century Debenture 2088,"2,200,000","1,000.00","2,200,000,000.00"
PBD84,10.15% Prime Debenture 2084,"5,000,000","1,000.00","5,000,000,000.00"
SBLD89,10.75% SBL Debenture 2089,"4,000,000","1,000.00","4,000,000,000.00"
SBD89,10.25% Sanima Debenture 2089,"5,000,000","1,000.00","5,000,000,000.00"
EBLD85,10.50% Everest Bank Limited Debenture 2085,"2,000,000","1,000.00","2,000,000,000.00"
BOKD86KA,"BOK Debenture 2086 ""KA""","1,100,000","1,000.00","1,100,000,000.00"
HBLD86,"Himalayan Bank Limited Bond, 2086","2,500,000","1,000.00","2,500,000,000.00"
KBLD89,11% KBL Debenture 2089,"3,000,000","1,000.00","3,000,000,000.00"
SBID83,10.25% Nepal SBI Bank Debenture 2083,0,0.00,0.00
NIFRAUR85/86,Nifra Urja 7% -2085/86,"5,000,000","1,000.00","5,000,000,000.00"
SCBD,10.30% Standard Chartered Bank Nepal Limited Rinpatra,"2,400,000","1,000.00","2,400,000,000.00"
GBILD84/85,Global IME Bank Debenture 2084/85,"5,000,000","1,000.00","5,000,000,000.00"
NMBD89/90,NMB Debenture 10.75%-2089/2090,"4,000,000","1,000.00","4,000,000,000.00"
MLBLD89,11% Mahalaxmi Debenture-2089,"1,000,000","1,000.00","1,000,000,000.00"
EBLE89,Everest Bank Limited Urja Rinpatra 2089,"746,830","1,000.00","746,830,000.00"
LBBLD89,11% L.B.B.L. Debenture 2089,"1,000,000","1,000.00","1,000,000,000.00"
CIZBD86,10.25% Citizens Bank Debenture 2086,"2,500,000","1,000.00","2,500,000,000.00"
KBLD90,10% KBL Debenture 2090,"5,000,000","1,000.00","5,000,000,000.00"
NABILD87,9% Nabil Debenture 2087,"3,000,000","1,000.00","3,000,000,000.00"
SBID89,9% Nepal SBI Bank debenture 2089,0,0.00,0.00
NIMBD90,10% NIMB Debenture 2090,"4,040,000","1,000.00","4,040,000,000.00"
ICFCD88,9% ICFC Finance Limited Debenture-2088,"300,000","1,000.00",0.00
EBLD91,Everest Bank Limited Rinpatra 2091,"3,000,000","1,000.00","3,000,000,000.00"
RBBD2088,7% RBBL Debenture 2088,"2,500,000","1,000.00","2,500,000,000.00"
NIFRAGED,Nifra Green Energy Debenture 6% - 2088/89,"5,000,000","1,000.00","5,000,000,000.00"
